	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)	(56)	(57)	(58)	(59)	(60)	(61)
VARIABLES	Conflict Lcs_em_FemAnimal	Price Lcs_stress_DomAsset	Price Lcs_stress_Saving	Price Lcs_stress_EatOut	Price Lcs_stress_BorrowCash	Price Lcs_stress_BorrowFood	Price Lcs_stress_MoreLabour	Price Lcs_stress_Animals	Price Lcs_crisis_ProdAssets	Price Lcs_crisis_Edu_Health	Price Lcs_crisis_OutSchool	Price Lcs_em_ResAsset	Price Lcs_em_Begged	Price Lcs_em_IllegalAct	Price Lcs_em_FemAnimal	Seasonal Lcs_stress_DomAsset	Seasonal Lcs_stress_Saving	Seasonal Lcs_stress_EatOut	Seasonal Lcs_stress_BorrowCash	Seasonal Lcs_stress_BorrowFood	Seasonal Lcs_stress_MoreLabour	Seasonal Lcs_stress_Animals	Seasonal Lcs_crisis_ProdAssets	Seasonal Lcs_crisis_Edu_Health	Seasonal Lcs_crisis_OutSchool	Seasonal Lcs_em_ResAsset	Seasonal Lcs_em_Begged	Seasonal Lcs_em_IllegalAct	Seasonal Lcs_em_FemAnimal	Climate Lcs_stress_DomAsset	Climate Lcs_stress_Saving	Climate Lcs_stress_EatOut	Climate Lcs_stress_BorrowCash	Climate Lcs_stress_BorrowFood	Climate Lcs_stress_MoreLabour	Climate Lcs_stress_Animals	Climate Lcs_crisis_ProdAssets	Climate Lcs_crisis_Edu_Health	Climate Lcs_crisis_OutSchool	Climate Lcs_em_ResAsset	Climate Lcs_em_Begged	Climate Lcs_em_IllegalAct	Climate Lcs_em_FemAnimal	Combined Lcs_stress_DomAsset	Combined Lcs_stress_Saving	Combined Lcs_stress_EatOut	Combined Lcs_stress_BorrowCash	Combined Lcs_stress_BorrowFood	Combined Lcs_stress_MoreLabour	Combined Lcs_stress_Animals	Combined Lcs_crisis_ProdAssets	Combined Lcs_crisis_Edu_Health	Combined Lcs_crisis_OutSchool	Combined Lcs_em_ResAsset	Combined Lcs_em_Begged	Combined Lcs_em_IllegalAct	Combined Lcs_em_FemAnimal	Food Security FCS	Food Security HDDS	Food Security HHS	Food Security CARI
																																																													
area	0.0291	-0.167***	-0.128***	-0.234***	-0.0611**	-0.241***	0.0219	-0.199***	-0.128***	-0.100***	-0.0847*	-0.0790	-0.0388	-0.270**	0.0136	-0.168***	-0.239***	-0.303***	-0.292***	-0.386***	-0.109***	-0.246***	-0.188***	-0.183***	-0.151***	-0.118***	-0.140***	-0.308***	-0.209***	0.0430	-0.0600**	-0.133***	0.00398	-0.0863***	0.0201	-0.130***	0.0289	0.0283	0.0184	0.0966**	-0.0335	-0.216**	-0.0286	0.0965**	-0.191***	-0.148*	-0.0500	-0.291***	-0.0293	-0.0729	0.124**	-0.110***	-0.0691	0.104	0.0943	0.00202	0.0793	0.106	0.351***	-0.000494	0.406***
	(0.0387)	(0.0364)	(0.0299)	(0.0606)	(0.0238)	(0.0365)	(0.0393)	(0.0407)	(0.0405)	(0.0293)	(0.0455)	(0.0492)	(0.0474)	(0.114)	(0.0467)	(0.0323)	(0.0257)	(0.0471)	(0.0203)	(0.0289)	(0.0307)	(0.0331)	(0.0347)	(0.0251)	(0.0402)	(0.0440)	(0.0391)	(0.0832)	(0.0382)	(0.0363)	(0.0273)	(0.0499)	(0.0224)	(0.0334)	(0.0345)	(0.0352)	(0.0397)	(0.0282)	(0.0455)	(0.0469)	(0.0422)	(0.0900)	(0.0413)	(0.0474)	(0.0434)	(0.0820)	(0.0346)	(0.0520)	(0.0555)	(0.0468)	(0.0505)	(0.0416)	(0.0604)	(0.0648)	(0.0625)	(0.136)	(0.0557)	(0.103)	(0.0850)	(0.0736)	(0.0767)
education_head	0.0700***	-0.0319	0.0904***	0.0445	0.0330	0.0422	0.0841**	0.0406	0.00294	0.0682**	-0.119***	-0.0906**	-0.00902	0.236**	-0.0298	0.0441*	0.149***	0.0415	0.114***	0.114***	0.100***	0.123***	0.0794***	0.108***	-0.0543	-0.0276	0.0480	0.120*	0.0673**	-0.0559*	0.108***	-0.0381	-0.0213	-0.0132	0.0345	0.0152	-0.0127	0.0296	-0.107***	-0.120***	-0.0227	0.0464	-0.0385	-0.111***	0.0580**	-0.0206	-0.0605**	-0.0838**	-0.0124	-0.0270	-0.0652	-0.0166	-0.141***	-0.114**	-0.00216	0.113	-0.0521	0.505***	0.174***	-0.122**	0.358***
	(0.0269)	(0.0331)	(0.0284)	(0.0487)	(0.0217)	(0.0310)	(0.0349)	(0.0314)	(0.0369)	(0.0268)	(0.0441)	(0.0423)	(0.0402)	(0.0954)	(0.0361)	(0.0265)	(0.0228)	(0.0354)	(0.0173)	(0.0235)	(0.0258)	(0.0232)	(0.0296)	(0.0213)	(0.0354)	(0.0367)	(0.0310)	(0.0630)	(0.0273)	(0.0287)	(0.0230)	(0.0382)	(0.0181)	(0.0260)	(0.0276)	(0.0245)	(0.0323)	(0.0228)	(0.0386)	(0.0389)	(0.0329)	(0.0650)	(0.0292)	(0.0378)	(0.0291)	(0.0538)	(0.0240)	(0.0355)	(0.0362)	(0.0336)	(0.0418)	(0.0293)	(0.0485)	(0.0472)	(0.0430)	(0.104)	(0.0423)	(0.0632)	(0.0502)	(0.0616)	(0.0472)
marital_head	-0.151**	0.113	-0.196***	-0.275***	-0.0980*	0.0338	-0.0871	-0.0678	-0.0970	-0.186***	0.0514	0.0944	-0.0169	-0.00487	-0.0171	0.0476	-0.239***	-0.303***	-0.128***	-0.00697	-0.102	-0.111*	-0.0726	-0.230***	0.0192	0.0752	-0.0580	-0.116	-0.122*	0.0735	-0.221***	-0.305***	-0.116***	0.0176	-0.0968	-0.0672	-0.0761	-0.244***	0.0128	0.0989	-0.0487	-0.0906	-0.112	0.0315	-0.200***	-0.286***	-0.117**	0.0501	-0.0852	-0.0759	-0.179**	-0.266***	-0.0454	-0.0122	-0.106	0.0519	-0.0874	-0.0734	-0.212	0.115	-0.00303
	(0.0666)	(0.0730)	(0.0718)	(0.106)	(0.0518)	(0.0760)	(0.0876)	(0.0774)	(0.0724)	(0.0637)	(0.0969)	(0.0883)	(0.0846)	(0.153)	(0.0893)	(0.0590)	(0.0598)	(0.0873)	(0.0438)	(0.0587)	(0.0669)	(0.0592)	(0.0638)	(0.0518)	(0.0801)	(0.0851)	(0.0651)	(0.124)	(0.0658)	(0.0639)	(0.0585)	(0.0901)	(0.0444)	(0.0630)	(0.0699)	(0.0616)	(0.0673)	(0.0553)	(0.0819)	(0.0909)	(0.0675)	(0.128)	(0.0698)	(0.0796)	(0.0710)	(0.107)	(0.0545)	(0.0856)	(0.0885)	(0.0825)	(0.0740)	(0.0684)	(0.0972)	(0.0950)	(0.0849)	(0.176)	(0.0990)	(0.191)	(0.155)	(0.170)	(0.135)
sex_head	-0.243***	-0.551***	-0.109	-0.289***	-0.285***	-0.480***	-0.199**	-0.359***	-0.429***	-0.348***	-0.404***	-0.464***	-0.482***	-0.258*	-0.504***	-0.463***	-0.118**	-0.232***	-0.283***	-0.454***	-0.208***	-0.251***	-0.327***	-0.281***	-0.358***	-0.333***	-0.368***	-0.140	-0.310***	-0.270***	0.0645	-0.118	-0.0398	-0.280***	-0.102	-0.0340	-0.0964	-0.0752	-0.179**	-0.111	-0.207***	-0.0397	-0.127*	-0.244***	0.0514	-0.198*	-0.0225	-0.280***	-0.104	-0.0751	-0.126*	-0.115*	-0.170*	-0.169*	-0.307***	-0.249	-0.252**	0.232	0.276**	0.389**	0.0477
	(0.0674)	(0.0665)	(0.0706)	(0.105)	(0.0499)	(0.0745)	(0.0940)	(0.0750)	(0.0689)	(0.0628)	(0.0958)	(0.0816)	(0.0827)	(0.148)	(0.0868)	(0.0562)	(0.0575)	(0.0858)	(0.0411)	(0.0573)	(0.0694)	(0.0578)	(0.0610)	(0.0512)	(0.0795)	(0.0748)	(0.0655)	(0.123)	(0.0664)	(0.0601)	(0.0569)	(0.0898)	(0.0424)	(0.0608)	(0.0743)	(0.0618)	(0.0645)	(0.0553)	(0.0818)	(0.0803)	(0.0686)	(0.128)	(0.0717)	(0.0734)	(0.0702)	(0.108)	(0.0525)	(0.0824)	(0.0950)	(0.0833)	(0.0716)	(0.0674)	(0.0987)	(0.0908)	(0.0853)	(0.174)	(0.100)	(0.170)	(0.135)	(0.155)	(0.131)
deadliness	0.000762***																																											0.00220***	0.000698**	0.000203	0.000576*	-0.00989***	-0.00528***	0.000468	0.00222***	0.00135***	0.00250***	0.00373***	0.00337***	0.00597	0.00311***				
	(0.000286)																																											(0.000310)	(0.000307)	(0.00200)	(0.000299)	(0.00160)	(0.00150)	(0.000367)	(0.000331)	(0.000298)	(0.000328)	(0.000345)	(0.000326)	(0.00395)	(0.000348)				
danger	0.0139***																																											0.0158***	0.0150***	-0.00932	0.0129***	0.0633***	0.0537***	0.0131***	0.0113***	0.0140***	0.00547**	0.00163	0.00551*	-0.0713**	0.00271				
	(0.00240)																																											(0.00282)	(0.00269)	(0.0141)	(0.00246)	(0.00938)	(0.00885)	(0.00309)	(0.00313)	(0.00262)	(0.00276)	(0.00284)	(0.00283)	(0.0316)	(0.00313)				
diffusion	-1.810***																																											-0.858***	0.513**	-0.478	0.340*	0.891***	0.249	-1.525***	-1.237***	0.625***	0.192	-0.873**	-1.195***	-2.094**	-0.333				
	(0.337)																																											(0.275)	(0.212)	(0.459)	(0.182)	(0.288)	(0.273)	(0.372)	(0.286)	(0.208)	(0.302)	(0.390)	(0.333)	(0.851)	(0.390)				
fragmentation	0.0399***																																											-0.0678***	-0.0843***	-0.0567***	-0.0656***	-0.0803***	-0.107***	-0.0408***	-0.0818***	-0.0427***	-0.0253**	-0.0173	0.0102	-0.0405	-0.0460***				
	(0.00648)																																											(0.0107)	(0.0102)	(0.0161)	(0.00786)	(0.0116)	(0.0109)	(0.00956)	(0.0144)	(0.00988)	(0.0115)	(0.0128)	(0.0136)	(0.0311)	(0.0103)				
cdi_rainfall																-0.734***	0.0467	-0.213	-0.118	-0.746***	0.410***	-0.454***	-0.498***	0.123	-0.00892	-0.250*	-0.434***	-0.0447	-0.306**															0.495**	0.688***	-0.239	0.355***	0.360	1.343***	0.314*	0.681**	1.097***	1.268***	1.028***	0.0900	1.101	0.207				
																(0.115)	(0.0995)	(0.178)	(0.0797)	(0.110)	(0.113)	(0.104)	(0.139)	(0.106)	(0.144)	(0.142)	(0.133)	(0.308)	(0.123)															(0.199)	(0.149)	(0.463)	(0.130)	(0.299)	(0.271)	(0.178)	(0.265)	(0.156)	(0.283)	(0.294)	(0.245)	(0.773)	(0.252)				
cdi_soilmoisture																0.751***	0.469***	1.508***	1.945***	2.689***	1.363***	0.783***	0.535***	0.641***	0.443***	0.409***	-0.132	0.174	1.378***															-0.328	0.390**	1.141***	1.430***	0.458**	-1.282***	0.338*	0.0736	-0.190	0.182	-0.107	0.336	0.594	1.481***				
