
="sorghum_climate_flood",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="area",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="education_head",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="marital_head",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="sex_head",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="_cons",="9.097*",="14.15***",="-2.831",="22.54***"
="",="(3.624)",="(2.929)",="(3.697)",="(2.711)"

="N",="54264",="54264",="54264",="54264"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
