
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)"
="",="Lcs_stress_DomAsset",="Lcs_stress_Saving",="Lcs_stress_EatOut",="Lcs_stress_BorrowCash",="Lcs_stress_BorrowFood",="Lcs_stress_MoreLabour",="Lcs_stress_Animals",="Lcs_crisis_ProdAssets",="Lcs_crisis_Edu_Health",="Lcs_crisis_OutSchool",="Lcs_em_ResAsset",="Lcs_em_Begged",="Lcs_em_IllegalAct",="Lcs_em_FemAnimal"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="deadliness",="-0.147***",="-0.0643**",="-0.456***",="-0.107***",="-0.512***",="-0.398***",="-0.140***",="-0.147***",="-0.0803***",="-0.250***",="-0.210***",="-0.0865**",="-0.257",="-0.240***"
="",="(0.0237)",="(0.0196)",="(0.0775)",="(0.0158)",="(0.0464)",="(0.0456)",="(0.0222)",="(0.0248)",="(0.0185)",="(0.0356)",="(0.0360)",="(0.0273)",="(0.147)",="(0.0277)"

="danger",="0.0206***",="-0.00311",="-0.0162",="-0.00804***",="0.0564***",="-0.0359***",="0.0230***",="0.0209***",="0.00886***",="0.00611",="-0.0107",="0.00589",="-0.0563*",="0.00322"
="",="(0.00299)",="(0.00266)",="(0.0143)",="(0.00215)",="(0.00885)",="(0.00852)",="(0.00287)",="(0.00321)",="(0.00250)",="(0.00502)",="(0.00625)",="(0.00431)",="(0.0274)",="(0.00372)"

="diffusion",="-0.642*",="0.706***",="-0.339",="-0.172",="1.128***",="0.321",="-0.662*",="-0.347",="0.259",="0.835**",="0.369",="-0.835**",="-0.949",="0.568"
="",="(0.271)",="(0.190)",="(0.435)",="(0.154)",="(0.291)",="(0.250)",="(0.295)",="(0.286)",="(0.184)",="(0.317)",="(0.372)",="(0.280)",="(0.764)",="(0.327)"

="fragmentation",="-0.0386***",="-0.0688***",="0.000506",="-0.0285***",="-0.0684***",="-0.0243*",="-0.0256**",="-0.0583***",="-0.0374***",="-0.0134",="0.00595",="0.0157",="-0.00173",="-0.0150"
="",="(0.00956)",="(0.00746)",="(0.0186)",="(0.00549)",="(0.0114)",="(0.0109)",="(0.00825)",="(0.00995)",="(0.00697)",="(0.0121)",="(0.0136)",="(0.0109)",="(0.0322)",="(0.00969)"

="zs_maize_inte",="1.608**",="-2.396***",="-0.690",="-1.505***",="-3.761***",="1.595*",="-0.293",="2.534***",="-2.445***",="0.617",="0.693",="1.250",="1.058",="-0.442"
="",="(0.610)",="(0.446)",="(1.124)",="(0.321)",="(0.648)",="(0.658)",="(0.470)",="(0.617)",="(0.416)",="(0.743)",="(0.822)",="(0.640)",="(2.225)",="(0.666)"

="zs_millet_inte",="-1.597**",="-2.069***",="3.931",="0.521",="13.98***",="-1.051",="0.269",="-2.157**",="2.085***",="-0.678",="-3.915***",="-1.591*",="-5.698",="-1.510*"
="",="(0.613)",="(0.534)",="(2.012)",="(0.411)",="(1.269)",="(1.231)",="(0.555)",="(0.672)",="(0.454)",="(0.779)",="(0.936)",="(0.720)",="(3.727)",="(0.728)"

="zs_rice_inte",="2.628***",="1.348**",="-0.990",="1.815***",="2.068*",="4.505***",="-2.590***",="2.308***",="0.692",="-0.777",="0.351",="1.789*",="1.222",="1.129"
="",="(0.579)",="(0.490)",="(1.403)",="(0.333)",="(0.811)",="(0.884)",="(0.500)",="(0.597)",="(0.396)",="(0.701)",="(0.792)",="(0.723)",="(2.694)",="(0.594)"

="zs_sorghum_inte",="-0.264",="1.389**",="0.152",="-0.522",="-5.964***",="-3.187***",="1.427**",="0.156",="-0.796*",="-0.220",="1.995**",="0.288",="2.777",="1.115"
="",="(0.475)",="(0.460)",="(0.929)",="(0.309)",="(0.601)",="(0.610)",="(0.457)",="(0.500)",="(0.327)",="(0.546)",="(0.688)",="(0.514)",="(1.815)",="(0.571)"

="R_drought",="-0.0132***",="-0.00104",="-0.0179***",="-0.0195***",="-0.0336***",="-0.0288***",="-0.00844***",="-0.00482",="-0.0313***",="-0.0157***",="-0.00897*",="-0.0163***",="-0.0104",="-0.00397"
="",="(0.00262)",="(0.00187)",="(0.00387)",="(0.00148)",="(0.00261)",="(0.00239)",="(0.00221)",="(0.00268)",="(0.00189)",="(0.00298)",="(0.00357)",="(0.00280)",="(0.00776)",="(0.00261)"

="R_flood",="0.00910",="0.0132",="0.0420**",="0.0600***",="0.0144",="-0.0306**",="-0.0419***",="0.0428***",="0.00176",="-0.0296*",="-0.0412**",="-0.0369**",="0.0119",="0.0185"
="",="(0.0101)",="(0.00874)",="(0.0149)",="(0.00591)",="(0.00930)",="(0.00939)",="(0.00934)",="(0.00999)",="(0.00732)",="(0.0123)",="(0.0137)",="(0.0123)",="(0.0278)",="(0.0102)"

="R_heat",="0.0153",="0.0697***",="-0.0327",="0.00231",="-0.00176",="-0.0421**",="0.0431***",="0.0348*",="-0.0711***",="-0.00228",="0.00885",="-0.0569***",="-0.0398",="0.0377*"
="",="(0.0152)",="(0.0102)",="(0.0229)",="(0.00892)",="(0.0156)",="(0.0142)",="(0.0126)",="(0.0161)",="(0.0114)",="(0.0173)",="(0.0213)",="(0.0160)",="(0.0488)",="(0.0162)"

="R_composite",="-0.0143",="-0.133***",="0.0911",="0.0131",="0.0413",="0.110***",="-0.0850**",="-0.0611",="0.166***",="0.0152",="-0.0145",="0.130***",="0.0831",="-0.0712*"
="",="(0.0311)",="(0.0211)",="(0.0471)",="(0.0182)",="(0.0317)",="(0.0291)",="(0.0259)",="(0.0329)",="(0.0232)",="(0.0356)",="(0.0438)",="(0.0329)",="(0.0997)",="(0.0332)"

="conflict_foodprice_maize",="0.000450**",="-0.00156***",="0.00145",="-0.00161***",="0.00435***",="0.00585***",="0.000688***",="0.000742***",="-0.000985***",="0.000848*",="0.000794*",="-0.000275",="0.00371",="0.000672**"
="",="(0.000157)",="(0.000152)",="(0.00158)",="(0.000115)",="(0.000915)",="(0.000906)",="(0.000151)",="(0.000188)",="(0.000129)",="(0.000354)",="(0.000369)",="(0.000222)",="(0.00248)",="(0.000259)"

="conflict_foodprice_millet",="-0.00133***",="-0.00178***",="-0.00139",="0.00125***",="0.00126",="-0.00598***",="-0.000897***",="-0.00154***",="-0.00100***",="-0.00522***",="-0.00647***",="-0.00188***",="-0.00655*",="-0.00273***"
="",="(0.000265)",="(0.000335)",="(0.00192)",="(0.000230)",="(0.00105)",="(0.000970)",="(0.000264)",="(0.000350)",="(0.000211)",="(0.000709)",="(0.000780)",="(0.000369)",="(0.00261)",="(0.000539)"

="conflict_foodprice_rice",="-0.000849**",="0.00239***",="0.00163",="0.00312***",="0.000490",="0.000722",="-0.00313***",="-0.00122***",="0.00118***",="0.00261***",="0.00160**",="0.000895*",="-0.000817",="0.0000750"
