
="area",="-0.360***"
="",="(0.0251)"

="_cons",="-1.231***"
="",="(0.0344)"

="N",="61924"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)"
="",="Lcs_crisis_Edu_Health"

="Lcs_crisis_Edu_Health",=""
="shock_4",="-0.484***"
="",="(0.0472)"

="shock_5",="-0.646***"
="",="(0.0229)"

="shock_6",="-0.376***"
="",="(0.0311)"

="shock_7",="-0.294***"
="",="(0.0181)"

="education_head",="0.149***"
="",="(0.0140)"

="marital_head",="-0.149***"
="",="(0.0349)"

="sex_head",="-0.242***"
="",="(0.0348)"

="area",="-0.313***"
="",="(0.0180)"

="_cons",="-0.766***"
="",="(0.0257)"

="N",="66610"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)"
="",="Lcs_crisis_OutSchool"

="Lcs_crisis_OutSchool",=""
="shock_4",="-0.302***"
="",="(0.0756)"

="shock_5",="-0.285***"
="",="(0.0338)"

="shock_6",="-0.494***"
="",="(0.0642)"

="shock_7",="-0.0917**"
="",="(0.0287)"

="education_head",="0.00138"
="",="(0.0230)"

="marital_head",="-0.0172"
="",="(0.0565)"

="sex_head",="-0.315***"
="",="(0.0539)"

="area",="-0.228***"
="",="(0.0297)"

="_cons",="-1.498***"
="",="(0.0414)"

="N",="57073"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)"
="",="Lcs_em_ResAsset"

="Lcs_em_ResAsset",=""
="shock_4",="-0.404***"
="",="(0.0808)"

="shock_5",="-0.294***"
="",="(0.0348)"

="shock_6",="-0.0855"
="",="(0.0472)"

="shock_7",="-0.210***"
="",="(0.0315)"

="education_head",="0.103***"
="",="(0.0233)"

="marital_head",="-0.0573"
="",="(0.0567)"

="sex_head",="-0.275***"
="",="(0.0550)"

="area",="-0.238***"
="",="(0.0325)"

="_cons",="-1.511***"
="",="(0.0413)"

="N",="51616"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)"
="",="Lcs_em_Begged"

="Lcs_em_Begged",=""
="shock_4",="-0.165**"
="",="(0.0607)"

="shock_5",="-0.291***"
="",="(0.0291)"

="shock_6",="-0.424***"
="",="(0.0517)"

="shock_7",="-0.137***"
="",="(0.0262)"

="education_head",="0.0730***"
="",="(0.0200)"

="marital_head",="-0.124*"
="",="(0.0491)"

="sex_head",="-0.265***"
="",="(0.0487)"

="area",="-0.232***"
="",="(0.0268)"

="_cons",="-1.323***"
="",="(0.0350)"

="N",="58229"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"

="",="(1)"
="",="Lcs_em_IllegalAct"

="Lcs_em_IllegalAct",=""
="shock_4",="-0.213*"
="",="(0.105)"

="shock_5",="-0.178**"
="",="(0.0560)"

="shock_6",="-0.517***"
="",="(0.149)"

="shock_7",="0.116*"
="",="(0.0547)"

="education_head",="0.0558"
="",="(0.0444)"

="marital_head",="-0.131"
="",="(0.111)"

="sex_head",="-0.0304"
="",="(0.116)"

="area",="-0.375***"
